Nom aménageur;SIREN aménageur;Contact aménageur;Nom opérateur;Contact opérateur;Téléphone opérateur;Nom enseigne;ID station itinérance;ID station local;Nom station;Implantation station;Adresse station;Code INSEE commune;Coordonnées;Nombre Points de charge;ID PDC itinérance;ID PDC local;Puissance nominale;Prise type E/F;Prise type 2;Prise type combo ccs;Prise type chademo;Prise type autre;Gratuit;Paiement acte;Paiement CB;Paiement autre;Tarification;Condition accès;Réservation;Horaires;Accessibilité PMR;Restriction gabarit;Station deux roues;Raccordement;Num PDL;Date mise en service;Observations;Date de Mise à Jour;cable_t2_attache;Dernière modification;datagouv dataset id;datagouv resource id;datagouv organization or owner;created_at;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified;coord;longitude;latitude;point_geo;Nom de la commune ou de l'arrondissement municipal;Code de la commune ou de l'arrondissement;Code EPCI;Nom de l'EPCI;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;code_commune_n
QUINCAILLERIE HUGUES 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PTMUDQRXWDT;TMUDQRXWDT;PK10;Voirie;5 coté montagne, 98717 PUNAAUIA, Tahiti 98717 Punaauia;;[-149.61231, -17.600917];2;FRFR1EPDJB1;PDJB1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-05-12;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.61231;-17.600917;;;False;False;"-149.61231;-17.600917";-149.61231;-17.600917;-17.600917, -149.61231;;;;;;;;;
Ville de Bruxelles;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PEIC8ALLHQN;EIC8ALLHQN;Bruxelles, Parking Groupe - Rue des Six Jetons 49;Voirie;Rue des six Jetons 49 1000 Bruxelles;;[4.3438463, 50.84746188];2;FRFR1EZJEK1;ZJEK1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-03-15;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.3438463;50.84746188;;;False;False;"4.3438463;50.84746188";4.3438463;50.84746188;50.84746188, 4.3438463;;;;;;;;;
Aiseau - Presles;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMSPSTZ6J2B;MSPSTZ6J2B;Aiseau - Presles;Voirie;Rue John Kennedy 150 6250 Roselies;;[4.57130327, 50.41575798];2;FRFR1EGGKH2;GGKH2;50;0;0;1;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-02-07;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.57130327;50.41575798;;;False;False;"4.57130327;50.41575798";4.57130327;50.41575798;50.41575798, 4.57130327;;;;;;;;;
SHELL ARUE 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PSDKEJCFATZ;SDKEJCFATZ;PK4;Voirie;FFFC+VFM 98701 Arue, Polynésie française;;[-149.529006, -17.5252859];2;FRFR1ENYVM2;NYVM2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-04-21;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.529006;-17.5252859;;;False;False;"-149.529006;-17.5252859";-149.529006;-17.5252859;-17.5252859, -149.529006;;;;;;;;;
COOK'S BAY 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PV8YS06G7V9;V8YS06G7V9;PK10;Voirie;PK10, côté mer, Paopao, 98728 MOOREA, Moorea 98728 Moorea;;[-149.817241, -17.4885483];2;FRFR1EPATK1;PATK1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-09-19;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.817241;-17.4885483;;;False;False;"-149.817241;-17.4885483";-149.817241;-17.4885483;-17.4885483, -149.817241;;;;;;;;;
Paea, LS TEHITI 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PPX8CCIXVTW;PX8CCIXVTW;Paea, LS TEHITI 1;Voirie;PK20.5 côté montagne Tiapa 98711 Tahiti - Paea;;[-149.57666, -17.7401472];2;FRFR1EKMXZ1;KMXZ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-09-15;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.57666;-17.7401472;;;False;False;"-149.57666;-17.7401472";-149.57666;-17.7401472;-17.7401472, -149.57666;;;;;;;;;
Rexel Anderlecht AND;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PLLJGW021MGWBUF;LLJGW021MGWBUF;Rexel Anderlecht AND;Voirie;213 Rue Bollinckx - Bollinckxstraat 1070 Anderlecht;;[4.305992, 50.813714];2;FRFR1EBFZB1;BFZB1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2023-06-29;Autre paiements : compte prépayé.;2023-09-25;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.305992;50.813714;;;False;False;"4.305992;50.813714";4.305992;50.813714;50.813714, 4.305992;;;;;;;;;
BUROGEST Office Park;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PBPJA6AA6CA;BPJA6AA6CA;Namur, Avenue des Dessus-de-Lives;Voirie;Avenue Des Dessus De Lives 5101 Namur;;[4.92386007, 50.46182071];4;FRFR1EPNFA1;PNFA1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-25;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.92386007;50.46182071;;;False;False;"4.92386007;50.46182071";4.92386007;50.46182071;50.46182071, 4.92386007;;;;;;;;;
I.Bou;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PNDOJ4662KH;NDOJ4662KH;SPA, Balmoral 28;Parking public;Balmoral 28 4900 Spa;;[5.88935, 50.50677];1;FRFR1EVXPU1;VXPU1;11;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-04-01;Autre paiements : compte prépayé.;2023-09-26;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.88935;50.50677;;;False;False;"5.88935;50.50677";5.88935;50.50677;50.50677, 5.88935;;;;;;;;;
BUROGEST Office Park;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PBPJA6AA6CA;BPJA6AA6CA;Namur, Avenue des Dessus-de-Lives;Voirie;Avenue Des Dessus De Lives 5101 Namur;;[4.92386007, 50.46182071];4;FRFR1EUMMS2;UMMS2;22;1;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-25;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.92386007;50.46182071;;;False;False;"4.92386007;50.46182071";4.92386007;50.46182071;50.46182071, 4.92386007;;;;;;;;;
Paea, LS TEHITI 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PPX8CCIXVTW;PX8CCIXVTW;Paea, LS TEHITI 1;Voirie;PK20.5 côté montagne Tiapa 98711 Tahiti - Paea;;[-149.57666, -17.7401472];2;FRFR1EKMXZ2;KMXZ2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-09-15;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.57666;-17.7401472;;;False;False;"-149.57666;-17.7401472";-149.57666;-17.7401472;-17.7401472, -149.57666;;;;;;;;;
BMW Namur;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PVQM8VODW4I;VQM8VODW4I;Namur, BMW Quoilin;Voirie;Chaussée de Marche 620, 5100 Wierde;;[4.9084615, 50.4389957];2;FRFR1ECTFV2;CTFV2;50;0;0;1;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2021-12-30;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.9084615;50.4389957;;;False;False;"4.9084615;50.4389957";4.9084615;50.4389957;50.4389957, 4.9084615;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1ENDHC1;NDHC1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-12;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
QUINCAILLERIE HUGUES 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PTMUDQRXWDT;TMUDQRXWDT;PK10;Voirie;5 coté montagne, 98717 PUNAAUIA, Tahiti 98717 Punaauia;;[-149.61231, -17.600917];2;FRFR1EPDJB2;PDJB2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-04-13;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.61231;-17.600917;;;False;False;"-149.61231;-17.600917";-149.61231;-17.600917;-17.600917, -149.61231;;;;;;;;;
Garage Didier;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PEUXBWQWQXS;EUXBWQWQXS;Florenville, Garage Didier;Voirie;68 Rue De France 6820 Florenville;;[5.29830466, 49.6976649];2;FRFR1ERZTQ1;RZTQ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-24;Autre paiements : compte prépayé.;2023-09-30;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.29830466;49.6976649;;;False;False;"5.29830466;49.6976649";5.29830466;49.6976649;49.6976649, 5.29830466;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EAWMQ1;AWMQ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
Moorea, Salvastore;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMBSSYTGNDB;MBSSYTGNDB;Moorea, Salvastore;Voirie;PK31 côté montagne Haapiti 98728 MOOREA;;[-149.90543, -17.5275527];2;FRFR1EBAQQ1;BAQQ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-08-29;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.90543;-17.5275527;;;False;False;"-149.90543;-17.5275527";-149.90543;-17.5275527;-17.5275527, -149.90543;;;;;;;;;
Ville de Bruxelles;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PEIC8ALLHQN;EIC8ALLHQN;Bruxelles, Parking Groupe - Rue des Six Jetons 49;Voirie;Rue des six Jetons 49 1000 Bruxelles;;[4.3438463, 50.84746188];2;FRFR1EZJEK2;ZJEK2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-03-15;Autre paiements : compte prépayé.;2023-09-25;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.3438463;50.84746188;;;False;False;"4.3438463;50.84746188";4.3438463;50.84746188;50.84746188, 4.3438463;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EBGJW1;BGJW1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
IMCSYS;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PWYZVCJ7RTY;WYZVCJ7RTY;Angleur, Avenue du Pré Aily;Voirie;14 Avenue Du Pré-Aily 4031 Liège;;[5.569035, 50.598908];4;FRFR1ESJUS1;SJUS1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-04-28;Autre paiements : compte prépayé.;2023-09-27;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.569035;50.598908;;;False;False;"5.569035;50.598908";5.569035;50.598908;50.598908, 5.569035;;;;;;;;;
BMW Namur;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PH6BG1SY13J;H6BG1SY13J;Bmw Quoilin, Marche-en-Famenne;Voirie;Rue De L'expansion 6900 Marche-en-Famenne;;[5.28868032, 50.24177291];2;FRFR1EJYNH1;JYNH1;50;0;0;1;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2021-12-30;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.28868032;50.24177291;;;False;False;"5.28868032;50.24177291";5.28868032;50.24177291;50.24177291, 5.28868032;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EAYMM1;AYMM1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
Rexel Anderlecht AND;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PLLJGW021MGWBUF;LLJGW021MGWBUF;Rexel Anderlecht AND;Voirie;213 Rue Bollinckx - Bollinckxstraat 1070 Anderlecht;;[4.305992, 50.813714];2;FRFR1EBFZB2;BFZB2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2023-06-29;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.305992;50.813714;;;False;False;"4.305992;50.813714";4.305992;50.813714;50.813714, 4.305992;;;;;;;;;
